Group,Item,Part Type,Variant ,Color,Qty,,,,,,,,
Pokeball Original Collection,Dive Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Dive Ball,Central Button,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Quick Ball,Lower Shell,E,Lemon Yellow,1,,,,,,,,
Pokeball Original Collection,Quick Ball,Decorator,S,Marine Blue,2,,,,,,,,
Pokeball Original Collection,Quick Ball,Decorator,T,Marine Blue,4,,,,,,,,
Pokeball Original Collection,Quick Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Quick Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Quick Ball,Upper Shell,J,Lemon Yellow,1,,,,,,,,
Pokeball Original Collection,Quick Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Quick Ball,Central Button,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Level Ball,Decorator,U,Charcoal,1,,,,,,,,
Pokeball Original Collection,Level Ball,Decorator,V,Scarlet Red,1,,,,,,,,
Pokeball Original Collection,Level Ball,Upper Shell,K,Lemon Yellow,1,,,,,,,,
Pokeball Original Collection,Level Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Level Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Level Ball,Lower Shell,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Level Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Level Ball,Central Button,A,Ivory White,1,,,,,,,,
Pokeball Original Collection,Dusk Ball,Decorator,W,Grass Green,2,,,,,,,,
Pokeball Original Collection,Dusk Ball,Upper Shell,L,Charcoal,1,,,,,,,,
Pokeball Original Collection,Dusk Ball,Lower Shell,F,Grass Green,1,,,,,,,,
Pokeball Original Collection,Dusk Ball,Decorator,X,Grass Green,2,,,,,,,,
Pokeball Original Collection,Dusk Ball,Decorator,Y,Grass Green,4,,,,,,,,
Pokeball Original Collection,Dusk Ball,What does the back look like?,,,,,,,,,,,
Pokeball Original Collection,Dusk Ball,Locator Disk,A,Mandarin Orange,1,,,,,,,,
Pokeball Original Collection,Dusk Ball,Weighted Cube,A,Mandarin Orange,1,,,,,,,,
Pokeball Original Collection,Dusk Ball,Central Ring,A,Mandarin Orange,1,,,,,,,,
Pokeball Original Collection,Dusk Ball,Central Button,A,Mandarin Orange,1,,,,,,,,
Pokeball Original Collection,Dream Ball,Lower Shell,G,Lilac Purple,1,,,,,,,,
Pokeball Original Collection,Dream Ball,Decorator,Z,Sakura Pink,2,,,,,,,,
Pokeball Original Collection,Dream Ball,Weighted Cube,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Dream Ball,Locator Disk,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Dream Ball,Upper Shell,M,Sakura Pink,1,,,,,,,,
Pokeball Original Collection,Dream Ball,Decorator,AA,Scarlet Red,1,,,,,,,,
Pokeball Original Collection,Dream Ball,Central Ring,A,Charcoal,1,,,,,,,,
Pokeball Original Collection,Dream Ball,Central Button,A,Charcoal,1,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Current Highest,,Team Rocket Ball,,Pikachu Ball
,,,,,,,,Upper Shell,M,,Beast Ball,,Squirtle Ball
,,,,,,,,Locator Disk,B,,Safari Ball,,Bulbasour Ball
,,,,,,,,Weighted Cube,A,,Heal Ball,,Charmander Ball
,,,,,,,,Central Ring,B,,Fast Ball,,
,,,,,,,,Central Button,A,,Great Ball,,
,,,,,,,,Lower Shell,G,,Cherish Ball,,
,,,,,,,,Decorator,AA,,Sport Ball,,
,,,,,,,,,,,Heavy Ball,,
,,,,,,,,,,,Lure Ball,,
,,,,,,,,,,,Master Ball,,
,,,,,,,,,,,Ultra Ball,,
,,,,,,,,,,,Repeat Ball,,
,,,,,,,,,,,Hisui Ball,,
